lead_id,enquiry_date,lead_source,product_category,region,response_time_hours,stage,deal_value_gbp,customer_type
LD-1,03/11/2022,Trade Show,Industrial Hardware,Midlands,54,Lost,65794.38,Government
LD-2,08/08/2022,Website,Industrial Hardware,Midlands,85,Enquiry,39193.45,Government
LD-3,21/01/2022,Email Campaign,MRO Supplies,South West,18,Won,55030.66,Retail
LD-4,02/12/2023,Referral,MRO Supplies,London,23,Qualified,43545.95,Government
LD-5,09/07/2023,Referral,Safety Products,South East,51,Enquiry,9262.58,Retail
LD-6,22/09/2022,Website,Packaging,South West,33,Won,62109.07,Government
LD-7,02/07/2024,Trade Show,Industrial Hardware,South East,61,Qualified,71891.07,Trade
LD-8,16/10/2023,Cold Call,Industrial Hardware,Midlands,64,Proposal Sent,17336.38,Retail
LD-9,12/11/2023,Cold Call,Warehouse Equipment,South East,55,Won,2574.66,Government
LD-10,23/04/2023,Website,MRO Supplies,South West,2,Proposal Sent,57956.88,Retail
LD-11,01/08/2022,Online Directory,Packaging,Midlands,54,Lost,46288.86,Contractor
LD-12,01/06/2024,Referral,Safety Products,Midlands,14,Enquiry,10762.74,Retail
LD-13,01/07/2024,Cold Call,Warehouse Equipment,London,52,Proposal Sent,63750.06,Retail
LD-14,27/12/2024,Online Directory,Safety Products,South West,18,Enquiry,42555.77,Retail
LD-15,15/05/2022,Trade Show,Safety Products,South East,38,Lost,33234.93,Contractor
LD-16,23/08/2024,Online Directory,Industrial Hardware,South East,54,Qualified,27729.98,Retail
LD-17,26/04/2024,Referral,Packaging,South West,49,Lost,81923.92,Contractor
LD-18,17/08/2023,Website,MRO Supplies,South East,35,Won,57310.91,Contractor
LD-19,20/03/2022,Website,MRO Supplies,South West,3,Qualified,44643.65,Government
LD-20,22/11/2023,Trade Show,Packaging,South East,14,Qualified,2842.41,Contractor
LD-21,02/10/2022,Cold Call,Packaging,Midlands,64,Qualified,50390.6,Government
LD-22,02/07/2023,Website,Packaging,North,8,Won,62598.82,Retail
LD-23,31/12/2022,Online Directory,MRO Supplies,London,20,Enquiry,19180.62,Government
LD-24,14/05/2022,Online Directory,MRO Supplies,South West,37,Lost,61869.71,Contractor
LD-25,31/08/2023,Trade Show,Safety Products,North,57,Qualified,9090.18,Contractor
LD-26,01/07/2022,Website,Packaging,South East,52,Proposal Sent,15797.12,Contractor
LD-27,15/10/2023,Referral,Packaging,South East,29,Enquiry,37233.56,Retail
LD-28,03/07/2024,Website,MRO Supplies,Midlands,19,Won,83278.47,Trade
LD-29,09/05/2024,Online Directory,Warehouse Equipment,South East,48,Enquiry,67876.43,Government
LD-30,29/10/2022,Trade Show,Packaging,North,75,Enquiry,48230.65,Retail
LD-31,21/12/2022,Email Campaign,MRO Supplies,South West,15,Won,42533.7,Trade
LD-32,16/11/2024,Email Campaign,MRO Supplies,South East,15,Proposal Sent,59270.89,Retail
LD-33,06/07/2023,Online Directory,Warehouse Equipment,South West,31,Won,55812.07,Retail
LD-34,01/09/2023,Online Directory,Warehouse Equipment,South West,23,Qualified,84796.32,Retail
