campaign_id,month,channel,spend_gbp,impressions,clicks,leads_generated,revenue_attributed_gbp
CP-1,2024-08-26,Trade Press,4275,23121,1475,137,92520.36
CP-2,2024-02-23,Custom List: Email,9263,68093,2381,152,28058.45
CP-3,2022-03-15,LinkedIn,6758,80537,4684,41,25677.11
CP-4,2024-07-02,Exhibition,5262,101959,3113,178,24569.75
CP-5,2023-09-12,PPC,10430,53387,2959,171,83691.11
CP-6,2024-04-17,Trade Press,2097,32539,999,110,46486.96
CP-7,2022-01-25,Exhibition,8322,112992,5895,38,61195.83
CP-8,2024-09-20,PPC,825,82586,1797,66,11420.86
CP-9,2024-10-12,Custom List: Email,12966,64252,968,163,43630.25
CP-10,2024-09-08,PPC,14644,101377,2362,18,57639.28
CP-11,2024-02-26,PPC,1097,13459,278,177,28748.84
CP-12,2024-05-17,Custom List: Email,1169,104802,7502,10,78052.07
CP-13,2024-08-24,Custom List: Email,7453,47727,2742,5,22375.32
CP-14,2023-01-12,Direct Mail,9543,96592,3178,76,71210.42
CP-15,2024-05-01,Custom List: Email,4590,46883,2422,143,72335.48
CP-16,2023-01-14,Direct Mail,2010,91673,5240,176,73163.56
CP-17,2024-01-26,Direct Mail,12375,73476,5432,19,5994.54
CP-18,2023-01-16,Trade Press,2435,30446,1870,180,31622.05
CP-19,2022-03-19,Trade Press,11980,45408,1041,6,36890.7
CP-20,2024-04-14,PPC,14835,47340,790,37,66884.63
CP-21,2023-07-04,Trade Press,4797,10028,250,173,6173.39
CP-22,2022-07-28,Exhibition,4354,69168,3068,25,5287.24
CP-23,2023-03-27,LinkedIn,10478,60077,3150,17,24863.38
CP-24,2022-06-23,Exhibition,10592,119009,6712,162,17583.03
CP-25,2023-12-07,Direct Mail,2555,45295,2319,48,27454.75
CP-26,2022-10-01,Trade Press,2595,7287,105,47,76043.55
CP-27,2023-08-23,Trade Press,10219,85173,888,16,51000.04
CP-28,2023-02-28,Direct Mail,7667,4537,212,154,63792.24
CP-29,2024-06-27,Trade Press,6808,68991,5343,155,71611.78
CP-30,2022-03-07,Trade Press,8339,70236,4107,173,37787.29
CP-31,2022-08-08,LinkedIn,9821,105559,1804,122,64250.4
CP-32,2024-08-31,Custom List: Email,2666,93163,3421,105,65313.14
CP-33,2023-05-07,Exhibition,3275,91287,5109,180,69761.53
CP-34,2023-05-22,PPC,1949,49385,1488,60,65119.7
CP-35,2023-04-21,Exhibition,8291,60718,4834,36,88819.78
CP-36,2024-06-03,LinkedIn,8728,25879,703,135,77286.24
CP-37,2022-12-07,LinkedIn,6490,109995,5809,79,6724.35
CP-38,2023-11-02,Exhibition,4917,35861,2279,67,67686.27
CP-39,2022-01-14,Custom List: Email,5911,79998,1341,142,56615.29
CP-40,2024-01-28,PPC,5971,42483,2202,119,35949.68
CP-41,2023-07-19,PPC,8561,56851,2578,125,72647.57
CP-42,2023-08-24,PPC,9787,100235,4633,125,37816.43
CP-43,2024-07-27,Custom List: Email,2369,45292,3585,108,28135.52
CP-44,2023-07-31,Custom List: Email,10506,9984,586,36,21629.64
CP-45,2023-02-16,LinkedIn,6101,14408,710,174,94967.42
CP-46,2022-10-30,Direct Mail,9756,86367,1130,162,6550.34
CP-47,2024-08-29,Exhibition,5728,93444,6738,20,23222.34
CP-48,2022-11-03,Trade Press,8001,27317,1759,87,23617.53
CP-49,2024-08-14,Exhibition,13358,55024,1984,41,31330.16
CP-50,2024-03-05,LinkedIn,4320,6212,494,59,90102.27
CP-51,2024-07-14,LinkedIn,11749,47804,1178,116,17353.24
CP-52,2023-05-13,Exhibition,9975,119075,5280,104,23200.54
CP-53,2023-11-20,Custom List: Email,1342,29251,1924,162,85556.01
CP-54,2023-03-25,LinkedIn,8533,55176,1370,42,47190.86
CP-55,2022-01-21,Trade Press,7814,64877,3427,108,12421.93
CP-56,2023-09-12,PPC,4619,61432,4733,53,87166.89
CP-57,2024-11-30,PPC,14197,62733,4610,88,16954.91
CP-58,2024-05-19,Direct Mail,11813,118256,3356,5,66715.99
CP-59,2022-01-06,Custom List: Email,7216,97210,3253,35,3626.15
CP-60,2024-04-22,Exhibition,12529,38953,3089,40,67798.06
CP-61,2024-01-28,LinkedIn,11533,116944,6583,174,19633.73
CP-62,2022-05-22,PPC,12236,22075,531,158,7669.87
CP-63,2024-08-18,LinkedIn,6490,66702,4503,63,24943.38
CP-64,2023-02-24,Exhibition,14361,53130,2486,31,77162.83
CP-65,2022-04-28,Direct Mail,4094,45487,2061,67,83058.38
CP-66,2022-04-08,LinkedIn,2764,97272,4119,41,58841.94
CP-67,2023-09-14,Direct Mail,4210,92310,5927,31,88061.57
CP-68,2023-09-09,Custom List: Email,13905,38157,1466,169,28881.2
CP-69,2024-06-24,LinkedIn,7596,92457,2306,156,81111.32
CP-70,2023-09-06,Trade Press,11321,6488,238,29,27624.74
CP-71,2023-02-11,PPC,4085,95407,6038,140,56109.69
CP-72,2023-12-10,Direct Mail,4578,69275,5417,109,20274.88
CP-73,2022-08-04,LinkedIn,14606,109959,6848,87,51659.3
CP-74,2024-07-29,Direct Mail,14636,119385,7072,126,51161.52
CP-75,2024-10-31,Exhibition,11300,20850,1012,156,36639.68
CP-76,2023-08-15,Trade Press,10805,19064,1007,35,78808.73
CP-77,2023-05-18,LinkedIn,10748,99288,6283,137,5898.29
CP-78,2023-09-30,Trade Press,7660,37177,623,170,22731.8
CP-79,2022-06-26,LinkedIn,6232,18930,531,111,55320.66
CP-80,2024-02-17,PPC,7064,6800,378,41,25498.96
CP-81,2022-12-29,PPC,8620,89255,995,15,88500.51
CP-82,2024-06-06,Direct Mail,8543,107119,6606,173,37380.35
CP-83,2023-09-02,PPC,2197,23213,270,115,16607.74
CP-84,2024-11-02,Direct Mail,10316,67171,3599,78,9092.78
CP-85,2024-02-08,Direct Mail,8240,53173,2982,176,6569.54
CP-86,2022-12-14,Custom List: Email,7338,56161,2205,134,15518.15
CP-87,2024-05-15,PPC,4707,58310,3500,66,24726.29
CP-88,2022-08-20,Custom List: Email,11136,72930,1708,149,81291.98
CP-89,2023-11-06,Direct Mail,13889,14832,527,135,91085.16
CP-90,2023-12-22,Custom List: Email,14612,111931,5391,73,14246.57
CP-91,2022-02-06,Trade Press,11696,44561,1779,84,65929.28
CP-92,2023-07-26,PPC,4618,92138,3851,63,84552.95
CP-93,2023-06-19,Exhibition,10962,111315,8579,141,75260.47
CP-94,2023-01-03,Direct Mail,3712,46294,3324,28,93835.16
CP-95,2022-08-23,Custom List: Email,9986,97410,1062,90,23062.0
CP-96,2024-05-12,LinkedIn,1552,67631,3865,14,10525.46
CP-97,2024-05-01,Trade Press,8331,103853,2153,180,47263.16
CP-98,2024-10-04,Custom List: Email,11563,112483,8565,33,47905.59
CP-99,2023-02-18,Trade Press,8628,8150,511,148,20491.16
CP-100,2024-07-15,Trade Press,2053,13468,236,101,29660.86
CP-101,2023-11-25,Trade Press,4726,6542,493,104,65423.15
CP-102,2024-09-01,LinkedIn,6186,30172,2371,151,49330.18
CP-103,2023-07-20,PPC,10551,109836,3780,117,91932.34
CP-104,2024-07-26,Trade Press,4358,27036,398,173,44966.65
CP-105,2023-09-15,Direct Mail,7298,6056,394,133,59135.94
CP-106,2022-05-20,Direct Mail,5129,102794,6596,17,8566.92
CP-107,2023-07-29,Trade Press,6146,85848,2938,73,53309.52
CP-108,2024-07-29,Direct Mail,9408,18117,725,100,69569.63
CP-109,2022-02-28,Exhibition,2074,42308,1770,32,45711.76
CP-110,2022-11-24,LinkedIn,9613,105815,7850,96,72983.36
CP-111,2023-01-15,Custom List: Email,11605,63750,2771,91,38779.64
CP-112,2023-10-29,Exhibition,12940,119854,7139,6,12707.91
CP-113,2022-12-26,Custom List: Email,14463,41993,2971,161,78239.71
CP-114,2022-01-17,Custom List: Email,5686,103006,6399,126,71165.43
CP-115,2023-06-08,Trade Press,3680,10525,130,52,41377.07
CP-116,2023-12-21,Direct Mail,14376,34894,1493,90,72066.59
CP-117,2023-04-11,Exhibition,7316,110707,2018,139,94698.67
CP-118,2024-08-15,Exhibition,3099,117093,3143,54,39612.32
CP-119,2024-05-15,LinkedIn,11560,40189,2582,61,65985.79
CP-120,2022-12-29,PPC,7998,33233,1949,59,63508.18
