product_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,product_line,days_of_supply,stock_status,stock_value,excess_value
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2024-02-17,184.37,0.556,Safety Products,5.677031093279839,Understock,33337.4,0.0
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,2024-10-01,221.94,0.723,Warehouse Equipment,12.896315338474722,Understock,53818.8,0.0
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,2024-04-07,53.85,0.68,MRO Supplies,3.502255240116742,Understock,7134.599999999999,0.0
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,2024-01-27,92.04,0.488,Warehouse Equipment,10.27010982487385,Understock,10760.6,0.0
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,2024-05-17,194.58,0.67,Warehouse Equipment,0.9883017345703913,Understock,5143.53,0.0
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,2024-07-12,180.65,0.803,Packaging,4.283727399165508,Understock,25274.48,0.0
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,2024-12-10,223.69,0.526,MRO Supplies,9.513274336283187,Understock,11556.68,0.0
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18,D,130,0.88,131.09,1.42,7,0.74,958,11.37,0.7,2024-11-05,195.75,0.558,MRO Supplies,1.7565872020075282,Understock,11011.56,0.0
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,2024-11-04,105.74,0.541,MRO Supplies,9.223013048635824,Understock,4142.52,0.0
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1.0,496,2.65,0.27,2024-01-21,154.78,0.366,Warehouse Equipment,11.253196930946292,Understock,3094.08,0.0
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,8.97,0.6,2024-02-07,266.58,0.599,Safety Products,1.6857314870559905,Understock,10556.0,0.0
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,2024-04-06,63.97,0.632,MRO Supplies,0.45177320984865593,Understock,710.1999999999999,0.0
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,2024-10-27,119.26,0.473,Warehouse Equipment,14.275956284153004,Healthy,61868.17999999999,0.0
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,2024-12-09,254.1,0.836,Packaging,3.0517711171662123,Understock,8639.12,0.0
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,2024-10-13,115.62,0.506,Safety Products,3.881610868510432,Understock,23878.4,0.0
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,2024-04-21,129.55,0.541,Packaging,6.3802745297407215,Understock,49687.96,0.0
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,2024-09-02,102.57,0.602,Safety Products,5.603759942154736,Understock,13601.25,0.0
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,2024-04-16,270.86,0.526,Warehouse Equipment,47.66355140186916,Understock,56964.96,0.0
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,2024-06-19,202.37,0.591,Industrial Hardware,15.56390977443609,Understock,9685.53,0.0
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,2024-06-04,70.55,0.654,Safety Products,3.95267545038989,Understock,12633.18,0.0
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,2024-01-08,227.39,0.727,Packaging,5.432098765432099,Understock,22748.0,0.0
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,2024-04-18,21.17,0.535,Warehouse Equipment,9.945504087193461,Understock,7419.72,0.0
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,2024-04-07,124.96,0.419,Safety Products,14.503415659485023,Understock,50312.04,0.0
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,2024-03-01,273.83,0.624,Industrial Hardware,38.125,Healthy,26732.640000000003,0.0
