date,ppi_manufactured,ppi_fabricated_metal,ppi_metal_structures,ppi_packaging
2022-01-01,120.7,126.9,142.7,113.3
2022-02-01,121.9,127.3,143.5,119.0
2022-03-01,125.7,127.6,145.1,119.5
2022-04-01,129.4,127.3,153.4,128.5
2022-05-01,131.6,127.9,154.7,128.7
2022-06-01,134.5,126.6,154.4,128.9
2022-07-01,136.2,128.0,155.9,128.9
2022-08-01,136.2,130.7,154.8,129.5
2022-09-01,136.2,131.0,153.7,129.9
2022-10-01,137.5,131.6,153.5,130.7
2022-11-01,137.2,131.5,153.5,128.2
2022-12-01,136.1,131.7,154.0,129.5
2023-01-01,136.7,132.0,155.8,137.6
2023-02-01,136.2,132.8,155.3,139.7
2023-03-01,136.2,132.5,155.3,138.4
2023-04-01,136.0,133.4,155.6,139.4
2023-05-01,135.2,133.8,154.5,139.1
2023-06-01,135.2,133.1,154.7,141.1
2023-07-01,135.5,133.9,154.5,141.0
2023-08-01,135.9,133.9,154.5,139.1
2023-09-01,136.6,133.7,152.4,138.8
2023-10-01,136.9,133.1,151.4,140.9
2023-11-01,136.9,132.9,151.8,140.2
2023-12-01,136.3,132.9,152.0,140.2
2024-01-01,136.4,132.3,154.4,139.7
2024-02-01,136.8,132.8,154.8,140.2
2024-03-01,137.1,132.8,154.5,139.4
2024-04-01,137.5,133.6,153.7,136.3
2024-05-01,137.5,133.5,154.0,135.9
2024-06-01,136.7,133.6,154.0,135.2
2024-07-01,136.8,133.6,153.7,135.9
2024-08-01,136.4,132.4,153.7,136.2
2024-09-01,135.9,130.5,153.6,136.0
2024-10-01,135.8,130.1,153.5,136.1
2024-11-01,136.4,129.9,152.8,136.8
2024-12-01,136.1,129.9,153.0,135.4
