date,rsi_all_retail,rsi_non_food
2022-01-01,107.7,105.4
2022-02-01,106.3,105.1
2022-03-01,105.6,107.5
2022-04-01,104.6,104.0
2022-05-01,103.3,104.0
2022-06-01,103.2,103.3
2022-07-01,103.4,103.3
2022-08-01,101.7,99.8
2022-09-01,100.3,100.0
2022-10-01,101.6,102.0
2022-11-01,100.7,101.1
2022-12-01,100.9,101.3
2023-01-01,101.1,100.7
2023-02-01,101.3,101.9
2023-03-01,100.1,100.0
2023-04-01,101.2,102.3
2023-05-01,100.3,101.1
2023-06-01,101.2,102.0
2023-07-01,99.8,100.5
2023-08-01,99.8,99.4
2023-09-01,98.6,97.0
2023-10-01,99.2,97.9
2023-11-01,100.8,100.5
2023-12-01,97.3,97.5
2024-01-01,100.5,99.7
2024-02-01,100.3,100.1
2024-03-01,100.1,100.7
2024-04-01,98.4,97.9
2024-05-01,101.3,101.8
2024-06-01,99.7,99.6
2024-07-01,100.3,100.6
2024-08-01,100.9,101.0
2024-09-01,100.7,102.2
2024-10-01,100.1,101.2
2024-11-01,100.2,100.9
2024-12-01,100.1,102.2
